"รายชื่อสถานศึกษา ""สวนพฤกษศาสตร์โรงเรียน"" จังหวัดเชียงใหม่",,,,,,,,
จํานวน ๖๘๕ แห่ง ข้อมูล ณ วันที่ ๒๐ มีนาคม ๒๕๖๙,,,,,,,,
ลําดับ,วันที่ตอบรับสมาชิก,รหัสสมาชิก,ชื่อสถานศึกษา,สังกัด,ตําบล/แขวง,อําเภอ /เขต,จังหวัด,รหัสไปรษณีย
282,21 กรกฎาคม 2568,7-50190-020,โรงเรียนประชาสามัคคีวิทยา,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 2,ตําบลปาไหน,อําเภอพราว,เชียงใหม่,50190
283,21 กรกฎาคม 2568,7-50190-021,โรงเรียนบ้านสันปง,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 2,ตําบลสันทราย,อําเภอพราว,เชียงใหม่,50190
284,20 พฤศจิกายน 2568,7-50190-022,โรงเรียนอนุบาลตําบลปาไหน,เทศบาลตําบลปาไหน,ตําบลปาไหน,อําเภอพราว,เชียงใหม่,50190
285,11 ธันวาคม 2568,7-50190-023,โรงเรียนบ้านแม่ปง,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 2,ตําบลแม่ปง,อําเภอพราว,เชียงใหม่,50190
286,11 ธันวาคม 2568,7-50190-024,โรงเรียนบ้านแจงกูเรือง,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 2,ตําบลเวียง,อําเภอพราว,เชียงใหม่,50190
287,19 ธันวาคม 2568,7-50190-025,โรงเรียนอนุบาลพรชัย,สํานักงานคณะกรรมการส่งเสริมการศึกษาเอกชน,ตําบลเวียง,อําเภอพราว,เชียงใหม่,50190
288,10 มิถุนายน 2553,7-50190-033/011-ตชด.,โรงเรียนตํารวจตระเวนชายแดน เจาพอหลวงอุปถัมป 2,กองกํากับการตํารวจตระเวน ชายแดนที่ 33,ตําบลน้ำแพร,อําเภอพราว,เชียงใหม่,50190
289,12 กุมภาพันธ 2559,7-50200-001,โรงเรียนสังวาลยวิทยา,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาดชียงใหม เขต 1,ตําบลสุเทพ,อําเภอเมืองเชียงใหม่,เชียงใหม่,50200
290,7 ธันวาคม 2561,7-50200-002,โรงเรียนเมตตาศึกษาในพระราชูปถัมภ,สํานักงานคณะกรรมการส่งเสริมการศึกษาเอกชน,ตําบลพระสิงห,อําเภอเมืองเชียงใหม่,เชียงใหม่,50200
291,4 มิถุนายน 2562,7-50200-003,โรงเรียนบ้านเชิงดอยสุเทพ,สํานักงานเขตพื้นที่การศึกษา ประถมศึกษาเชียงใหม่ เขต 1,ตําบลสุเทพ,อําเภอเมืองเชียงใหม่,เชียงใหม่,50200
292,4 มิถุนายน 2562,7-50200-004,โรงเรียนสอนคนตาบอดภาคเหนือ,สํานักบริหารงานการศึกษา พิเศษ,ตําบลพระสิงห,อําเภอเมืองเชียงใหม่,เชียงใหม่,50200
